,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
13,Eptesicus_nilssonii,Karyotype,50,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Heller & Volleth (1984),"Heller, K. G., & Volleth, M. (1984). Taxonomic position of â€œPipistrellus societatisâ€ Hill, 1972 and the karyological characteristics of the genus Eptesicus (Chiroptera: Vespertilionidae). Journal of Zoological Systematics and Evolutionary Research, 22(1), 65-77.",NA,NA,NA
14,Eptesicus_nilssonii,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_CR_(930)_",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,LempiÃ¤inen (2014),"LempiÃ¤inen, A. (2014). Mitochondrial DNA diversity of the Northern Bat (Eptesicus nilssonii) in the northern Palearctic.",NA,NA,NA
15,Eptesicus_nilssonii,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mayer & Helversen (2001),"Mayer, F., & Helversen, O. V. (2001). Sympatric distribution of two cryptic bat species across Europe. Biological Journal of the Linnean Society, 74(3), 365-374.",NA,NA,NA
16,Eptesicus_nilssonii,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Artyushin et al. (2009),"Artyushin, I. V., Bannikova, A. A., Lebedev, V. S., & Kruskop, S. V. (2009). Mitochondrial DNA relationships among North Palaearctic Eptesicus (Vespertilionidae, Chiroptera) and past hybridization between common serotine and northern bat. Zootaxa, 2262(1), 40-52.",NA,NA,NA
17,Eptesicus_serotinus,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spain,Centeno-Cuadros et al. (2019),"Centenoâ€Cuadros, A., Razgour, O., GarcÃ­aâ€Mudarra, J. L., Mingoâ€Casas, P., SandonÃ­s, V., Redondo, A., ... & Juste, J. (2019). Comparative phylogeography and asymmetric hybridization between cryptic bat species. Journal of Zoological Systematics and Evolutionary Research, 57(4), 1004-1018.",NA,NA,NA
18,Eptesicus_serotinus,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Artyushin et al. (2018),"Artyushin, I. V., Kruskop, S. V., Lebedev, V. S., & Bannikova, A. A. (2018). Molecular phylogeny of serotines (Mammalia, Chiroptera, Eptesicus): evolutionary and taxonomical aspects of the E. serotinus species group. Biology Bulletin, 45(5), 469-477.",NA,NA,NA
19,Eptesicus_serotinus,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
23,Eptesicus_serotinus,GeneticPopulationStructure,4,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_10,Number_of_sub-populations,NA,NA,NA,NA,Europe,Moussy et al. (2015),"Moussy, C., Atterby, H., Griffiths, A. G. F., Allnutt, T. R., Mathews, F., Smith, G. C., ... & Hosken, D. J. (2015). Population genetic structure of serotine bats (Eptesicus serotinus) across Europe and implications for the potential spread of bat rabies (European bat lyssavirus EBLV-1). Heredity, 115(1), 83-92.",NA,NA,NA
24,Eptesicus_serotinus,AllelicRichness,3,0.1,0.03,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Europe,Moussy et al. (2015),"Moussy, C., Atterby, H., Griffiths, A. G. F., Allnutt, T. R., Mathews, F., Smith, G. C., ... & Hosken, D. J. (2015). Population genetic structure of serotine bats (Eptesicus serotinus) across Europe and implications for the potential spread of bat rabies (European bat lyssavirus EBLV-1). Heredity, 115(1), 83-92.",NA,NA,NA
25,Hypsugo_savii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Garcia-Mudarra et al. (2009),"Garcia-Mudarra, J. L., Ibanez, C., & Juste, J. (2009). The Straits of Gibraltar: barrier or bridge to Ibero-Moroccan bat diversity?. Biological Journal of the Linnean Society, 96(2), 434-450.",NA,NA,NA
26,Hypsugo_savii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
27,Hypsugo_savii,NF,50,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,"Bulgaria, Greece",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
28,Hypsugo_savii,NFa,54,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,"Bulgaria, Greece",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
29,Hypsugo_savii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,"Bulgaria, Greece",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
30,Miniopterus_schreibersii,Linage,1,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_CR_(787)",Number_of_genetic_lineages,787,individual,NA,NA,Mediterranean_area,Bilgin et al. (2016),"Bilgin, R., GÃ¼rÃ¼n, K., Rebelo, H., Puechmaille, S. J., MaracÄ±, Ã–., Presetnik, P., ... & Juste, J. (2016). Circum-Mediterranean phylogeography of a bat coupled with past environmental niche modeling: A new paradigm for the recolonization of Europe?. Molecular Phylogenetics and Evolution, 99, 323-336.",NA,NA,NA
31,Miniopterus_schreibersii,GenomeSize_(Gb),2,NA,NA,Maximum,NA,Giga_base_pairs,NA,NA,NA,NA,NA,Broad Institute (2019),Broad Institute 2020,NA,NA,NA
32,Miniopterus_schreibersii,GeneticPopulationStructure,1,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_14,Number_of_sub-populations,NA,NA,NA,NA,Mediterranean_area,Gurun et al. (2019),"GÃ¼rÃ¼n, K., Furman, A., Juste, J., Ramos Pereira, M. J., Palmeirim, J. M., Puechmaille, S. J., ... & Bilgin, R. (2019). A continent-scale study of the social structure and phylogeography of the bent-wing bat, Miniopterus schreibersii (Mammalia: Chiroptera), using new microsatellite data. Journal of Mammalogy, 100(6), 1865-1878.",NA,NA,NA
33,Miniopterus_schreibersii,AllelicRichness,4,1.23,0.3,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Mediterranean_area,Gurun et al. (2019),"GÃ¼rÃ¼n, K., Furman, A., Juste, J., Ramos Pereira, M. J., Palmeirim, J. M., Puechmaille, S. J., ... & Bilgin, R. (2019). A continent-scale study of the social structure and phylogeography of the bent-wing bat, Miniopterus schreibersii (Mammalia: Chiroptera), using new microsatellite data. Journal of Mammalogy, 100(6), 1865-1878.",Range: 3.0-7.0,NA,NA
35,Miniopterus_schreibersii,NFa,48,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2004),"KarataÅŸ, A., & SÃ¶zen, M. (2004). Contribution to karyology, distribution and taxonomic status of the Long-winged Bat, Miniopterus schreibersii (Chiroptera: Vespertilionidae), in Turkey. Zoology in the Middle East, 33(1), 51-64.",NA,NA,NA
36,Miniopterus_schreibersii,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Matthey & Bovey (1948),"Matthey, R., & Bovey, R. (1948). La formule chromosomique chez cinq especes de Chiropteres. Experientia, 4(1), 26-27.",NA,NA,NA
37,Miniopterus_schreibersii,Karyotype,46,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Matthey & Bovey (1948),"Matthey, R., & Bovey, R. (1948). La formule chromosomique chez cinq especes de Chiropteres. Experientia, 4(1), 26-27.",NA,NA,NA
38,Miniopterus_schreibersii,Karyotype,46,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
39,Miniopterus_schreibersii,NFa,52,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
40,Myotis_alcathoe,AllelicRichness,2,0.03,0.02,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Poland,Bogdanowicz et al. (2012a),"Bogdanowicz, W., Piksa, K., & Tereba, A. (2012a). Genetic structure in three species of whiskered bats (genus Myotis) during swarming. Journal of Mammalogy, 93(3), 799-807.",Range 1.76-1.85,NA,NA
41,Myotis_alcathoe,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poland,Bogdanowicz et al. (2012b),"Bogdanowicz, W., Piksa, K., & Tereba, A. (2012b). Hybridization hotspots at bat swarming sites. Plos one, 7(12), e53334.",NA,NA,NA
42,Myotis_alcathoe,Linage,1,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
43,Myotis_alcathoe,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
44,Myotis_alcathoe,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
45,Myotis_alcathoe,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
46,Myotis_bechsteinii,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
47,Myotis_bechsteinii,CompleteMitochondrialGenome(bp),17151,NA,NA,Maximum,NA,base_pairs,NA,NA,NA,NA,NA,Jebb et al. (2017),"Jebb, D., Foley, N. M., Kerth, G., & Teeling, E. C. (2017). The complete mitochondrial genome of the Bechsteinâ€™s bat, Myotis bechsteinii (Chiroptera, Vespertilionidae). Mitochondrial DNA Part B, 2(1), 92-94.",NA,NA,NA
48,Myotis_bechsteinii,NFa,55,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
49,Myotis_bechsteinii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
50,Myotis_bechsteinii,GeneticPopulationStructure,4,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_14,Number_of_sub-populations,NA,NA,NA,NA,Europe,Wright et al. (2018),"Wright, P. G., Hamilton, P. B., Schofield, H., Glover, A., Damant, C., Davidson-Watts, I., & Mathews, F. (2018). Genetic structure and diversity of a rare woodland bat, Myotis bechsteinii: comparison of continental Europe and Britain. Conservation Genetics, 19(4), 777-787.",NA,NA,NA
51,Myotis_bechsteinii,AllelicRichness,6,NA,NA,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Europe,Wright et al. (2018),"Wright, P. G., Hamilton, P. B., Schofield, H., Glover, A., Damant, C., Davidson-Watts, I., & Mathews, F. (2018). Genetic structure and diversity of a rare woodland bat, Myotis bechsteinii: comparison of continental Europe and Britain. Conservation Genetics, 19(4), 777-787.",Range: 5.09-6.34,NA,NA
55,Myotis_blythii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,Bulgaria,Belcheva et al. (1992),"Belcheva, R. G., Topashka-Ancheva, M. N., & Biserkov, V. (1992). Karyological study of three species of bats of the family Vespertilionidae (Chiroptera, Mammalia) from Bulgaria. Acta zoologica bulgarica, 45, 72-76.",NA,NA,NA
56,Myotis_blythii,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Afonso et al. (2017),"Afonso, E., Goydadin, A. C., Giraudoux, P., & Farny, G. (2017). Investigating hybridization between the two sibling bat species Myotis myotis and M. blythii from guano in a natural mixed maternity colony. PLoS One, 12(2), e0170534.",NA,NA,NA
57,Myotis_blythii,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland, Italy",Berthier et al. (2006),"Berthier, P., Excoffier, L., & Ruedi, M. (2006). Recurrent replacement of mtDNA and cryptic hybridization between two sibling bat species Myotis myotis and Myotis blythii. Proceedings of the Royal Society B: Biological Sciences, 273(1605), 3101-3123.",NA,NA,NA
58,Myotis_blythii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
59,Myotis_blythii,GeneticPopulationStructure,2,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_8,Number_of_sub-populations,NA,NA,NA,NA,full_range,Furman et al. (2014),"Furman, A., Coraman, E., Ã‡elik, Y. E., Postawa, T., Bachanek, J., & Ruedi, M. (2014). Cytonuclear discordance and the species status of M yotis myotis and M yotis blythii (C hiroptera). Zoologica Scripta, 43(6), 549-561.",NA,NA,NA
61,Myotis_brandtii,AllelicRichness,3,0.1,0.03,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Poland,Bogdanowicz et al. (2012a),"Bogdanowicz, W., Piksa, K., & Tereba, A. (2012a). Genetic structure in three species of whiskered bats (genus Myotis) during swarming. Journal of Mammalogy, 93(3), 799-807.",Range: 2.82-3.14,NA,NA
62,Myotis_brandtii,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poland,Bogdanowicz et al. (2012b),"Bogdanowicz, W., Piksa, K., & Tereba, A. (2012b). Hybridization hotspots at bat swarming sites. Plos one, 7(12), e53334.",NA,NA,NA
63,Myotis_brandtii,GeneticPopulationStructure,1,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_7,Number_of_sub-populations,NA,NA,NA,NA,Poland,Forster et al. (2020),"Forster, M., Coombes, J., Paterson, S., & Lilley, T. Population Genetics of the Eurasian Bat (Myotis brandtii).",NA,NA,NA
64,Myotis_brandtii,CompleteMitochondrialGenome(bp),17470,NA,NA,Maximum,NA,base_pairs,NA,NA,NA,NA,NA,Jiang et al. (2014),"Jiang, J. J., Wang, S. Q., Li, Y. J., Zhang, W., Yin, A. G., & Hu, M. (2016). The complete mitochondrial genome of insect-eating brandt's bat, Myotis brandtii (Myotis, Vespertilionidae). Mitochondrial DNA Part A, 27(2), 1403-1404.",NA,NA,NA
65,Myotis_brandtii,GenomeSize_(Gb),2,NA,NA,Maximum,NA,Giga_base_pairs,NA,NA,NA,NA,NA,Salicini et al. (2013),"Salicini, I., IbÃ¡Ã±ez, C., & Juste, J. (2013). Deep differentiation between and within Mediterranean glacial refugia in a flying mammal, the Myotis nattereri bat complex. Journal of Biogeography, 40(6), 1182-1193.",NA,NA,NA
66,Myotis_brandtii,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
67,Myotis_brandtii,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
68,Myotis_brandtii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
72,Myotis_capaccinii,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
73,Myotis_capaccinii,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_6,Number_of_sub-populations,NA,NA,NA,NA,Europe,Viglino (2012),"Viglino, A. (2012). Study of variability and genetic structure of European populations of Myotis emarginatus and Myotis capaccinii (Chiroptera, Vespertilionidae).",NA,NA,NA
74,Myotis_capaccinii,AllelicRichness,3,1.55,0.45,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Europe,Viglino (2012),"Viglino, A. (2012). Study of variability and genetic structure of European populations of Myotis emarginatus and Myotis capaccinii (Chiroptera, Vespertilionidae).",Range: 1.57-5.85,NA,NA
75,Myotis_crypticus,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,Ã‡oraman et al. (2019),"Ã‡oraman, E., Dietz, C., Hempel, E., Ghazaryan, A., Levin, E., Presetnik, P., ... & Mayer, F. (2019). Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mt DNA introgressions in secondary contacts. Journal of Biogeography, 46(2), 343-354.",NA,NA,NA
76,Myotis_crypticus,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _snps_20693,Number_of_sub-populations,NA,NA,NA,NA,Europe,Razgour et al. (2019),"Razgour, O., Forester, B., Taggart, J. B., Bekaert, M., Juste, J., IbÃ¡Ã±ez, C., ... & Manel, S. (2019). Considering adaptive genetic variation in climate change vulnerability assessment reduces species range loss projections. Proceedings of the National Academy of Sciences, 116(21), 10418-10423.",NA,NA,NA
77,Myotis_crypticus,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1,_CR_(1570)",Number_of_genetic_lineages,1570,individual,NA,NA,full_range,Salicini et al. (2013),"Salicini, I., IbÃ¡Ã±ez, C., & Juste, J. (2013). Deep differentiation between and within Mediterranean glacial refugia in a flying mammal, the Myotis nattereri bat complex. Journal of Biogeography, 40(6), 1182-1193.",NA,NA,NA
78,Myotis_dasycneme,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_CR_(768)",Number_of_genetic_lineages,768,individual,NA,NA,partial_european_range,Andersen et al. (2019),"Andersen, L. W., Dirksen, R., Nikulina, E. A., BaagÃ¸e, H. J., Petersons, G., EstÃ³k, P., ... & Elmeros, M. (2019). Conservation genetics of the pond bat (Myotis dasycneme) with special focus on the populations in northwestern Germany and in Jutland, Denmark. Ecology and evolution, 9(9), 5292-5308.",NA,NA,NA
79,Myotis_daubentonii,GeneticPopulationStructure,5,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_8,Number_of_sub-populations,NA,NA,NA,NA,Western_Europe,Atterby et al. (2009),"Atterby, H., Aegerter, J. N., Smith, G. C., Conyers, C. M., Allnutt, T. R., Ruedi, M., & MacNicoll, A. D. (2010). Population genetic structure of the Daubentonâ€™s bat (Myotis daubentonii) in western Europe and the associated occurrence of rabies. European Journal of Wildlife Research, 56(1), 67-81.",NA,NA,NA
80,Myotis_daubentonii,AllelicRichness,10,NA,NA,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Western_Europe,Atterby et al. (2009),"Atterby, H., Aegerter, J. N., Smith, G. C., Conyers, C. M., Allnutt, T. R., Ruedi, M., & MacNicoll, A. D. (2010). Population genetic structure of the Daubentonâ€™s bat (Myotis daubentonii) in western Europe and the associated occurrence of rabies. European Journal of Wildlife Research, 56(1), 67-81.",Range: 7.38-12.75,NA,NA
